Genotype,Accession,Group,Block,Rep,Env,Prot_W,Oil_W,Fib_W,Ash_W,Star_W
PHW20,PI601791,non-stiff stalk,1,1,1,12.46,4.48,1.46,1.4,72.31
IBC2,PI601459,non-stiff stalk,1,1,1,13.73,4.7,1.69,1.55,71.94
C123,Ames19313,non-stiff stalk,1,1,1,12.68,4.29,1.92,1.51,71.9
LH57,PI601317,non-stiff stalk,1,1,1,14.42,5.08,1.73,1.59,71.37
L 139,PI601728,non-stiff stalk,1,1,1,12.22,3.77,1.77,1.47,71.55
PHH93,PI601567,non-stiff stalk,1,1,1,12.29,3.98,1.82,1.46,71.65
PHN11,PI601497,non-stiff stalk,1,1,1,13.24,4.27,1.67,1.49,70.72
PH207,PI601005,non-stiff stalk,1,1,1,14.42,3.64,2.03,1.59,71.02
PH207,PI601005,non-stiff stalk,1,1,1,14.19,3.54,2.09,1.59,71.17
LH127,PI538007,non-stiff stalk,1,1,1,11.09,4.2,1.55,1.38,71.89
DKMBNA,PI601209,non-stiff stalk,1,1,1,11.45,3.51,1.66,1.42,72.39
PHK76,PI601496,non-stiff stalk,1,1,1,10.94,4.04,1.56,1.32,71.41
MS224,Ames24749,non-stiff stalk,1,1,1,15.79,5.88,1.83,1.64,70.18
PHG47,PI601318,non-stiff stalk,1,1,1,13.44,4.48,1.41,1.45,72.86
PH207,PI601005,non-stiff stalk,1,1,1,15.25,4.18,2.15,1.68,71.06
L 127,PI601726,non-stiff stalk,1,1,1,14.03,4.61,2.01,1.6,71.96
LH54,PI601316,non-stiff stalk,1,1,1,16.49,5.39,1.81,1.7,72.78
MS225,Ames24750,non-stiff stalk,1,1,1,14.31,5.59,1.75,1.62,70.78
PH207,PI601005,non-stiff stalk,1,1,1,13.83,3.8,2.07,1.58,71.2
PHR36,PI601361,non-stiff stalk,1,1,1,11.79,4.73,1.84,1.47,71.63
B91,PI527700,non-stiff stalk,1,1,1,12.37,5.43,1.8,1.55,71.98
PHG29,PI601270,non-stiff stalk,1,1,1,12.22,3.86,1.64,1.42,72.57
PHK42,PI601495,non-stiff stalk,1,1,1,11.64,3.88,2.04,1.45,70.4
L 135,PI601727,non-stiff stalk,1,1,1,13.66,3.74,2.1,1.57,70.65
L 135,PI601727,non-stiff stalk,1,1,1,13.38,3.58,2.05,1.57,71.22
PH207,PI601005,non-stiff stalk,1,1,1,14.93,3.42,2.04,1.61,71.62
PH207,PI601005,non-stiff stalk,1,1,1,14.81,3.67,2.21,1.63,71.35
Oh40B,NSL28966,non-stiff stalk,1,1,1,13.99,4.67,1.64,1.52,71.39
Oh40B,NSL28966,non-stiff stalk,1,1,1,13.44,4.96,1.77,1.56,70.86
LH82,PI601170,non-stiff stalk,1,1,1,12.22,3.87,1.87,1.52,70.54
LH82,PI601170,non-stiff stalk,1,1,1,11.9,3.46,1.78,1.48,71.6
Va26,PI587149,non-stiff stalk,2,1,1,12.08,4.87,2.1,1.56,69.95
Va26,PI587149,non-stiff stalk,2,1,1,12.8,4.62,1.88,1.53,70.9
