Accession,Origin,Group,Starch,Protein,Oil,Fib,Ash,Density
Ames14115,"US, Virginia",non-stiff stalk,64.96,12.05,3.2,0.64,1.06,1.35
Ames19016,"US, Virginia",non-stiff stalk,63.54,12.83,3.47,0.98,1.18,1.33
Ames19313,"US, Connecticut",non-stiff stalk,62.04,12.92,3.38,1.31,1.08,1.3
Ames19318,"US, Indiana",non-stiff stalk,63.43,11.4,3.42,1.28,1.15,1.3
Ames19319,"US, Indiana",non-stiff stalk,65.96,10.84,3.02,1.08,1.1,1.32
Ames20120,"US, Missouri",non-stiff stalk,59.62,14.02,3.76,1.76,1.08,1.26
Ames22750,"US, Indiana",non-stiff stalk,61.75,13.04,3.42,1.08,1.13,1.32
Ames24704,"US, Michigan",non-stiff stalk,59.13,13.47,5.42,1.1,1.19,1.31
Ames24711,"US, Michigan",non-stiff stalk,58.08,13.92,4.06,1.31,0.93,1.29
Ames24746,"US, Michigan",non-stiff stalk,62.77,12.96,2.81,1.15,1.17,1.31
Ames24747,"US, Michigan",non-stiff stalk,64.31,12.71,2.58,0.99,1.13,1.33
Ames24748,"US, Michigan",non-stiff stalk,61.25,13.02,4.97,1.07,1.1,1.31
Ames24749,"US, Michigan",non-stiff stalk,58.77,14.68,5.36,1.09,1.27,1.3
Ames24750,"US, Michigan",non-stiff stalk,62.87,12.74,4.06,0.85,1.21,1.33
Ames25219,"US, Minnesota",non-stiff stalk,61.37,13.38,3.63,1.73,1.1,1.26
Ames25221,"US, Minnesota",non-stiff stalk,61.5,13.99,3.51,1.79,1.19,1.26
Ames26748,"US, Iowa",non-stiff stalk,61.72,11.63,5.13,2.17,1.37,1.22
Ames26801,"US, Indiana",non-stiff stalk,62.08,13.39,3.28,0.93,1.1,1.33
Ames27183,"US, North Carolina",non-stiff stalk,64.19,11.67,3.38,1.69,1.14,1.27
Ames27184,"US, Pennsylvania",non-stiff stalk,60.8,13.41,4.34,1.88,1.19,1.24
NSL28966,"US, Ohio",non-stiff stalk,59.08,14.99,3.91,1.21,1.12,1.3
NSL30056,"US, Wisconsin",non-stiff stalk,62.05,12.04,2.93,1.22,1.01,1.31
NSL30067,"US, Wisconsin",non-stiff stalk,65.65,10.95,3.24,0.63,0.86,1.35
NSL42877,"US, Minnesota",non-stiff stalk,61.72,13.29,3.59,1.59,1.17,1.27
NSL65872,"US, Iowa",non-stiff stalk,66.85,10.45,2.9,1.17,1.09,1.32
PI517968,"US, Pennsylvania",non-stiff stalk,59.59,14.05,3.59,1.2,0.93,1.3
PI520774,"US, North Carolina",non-stiff stalk,62.28,12.49,3.95,0.99,1.21,1.33
PI527699,"US, Iowa",non-stiff stalk,62.55,13.6,3.23,0.36,1.1,1.37
PI527700,"US, Iowa",non-stiff stalk,62.31,13.31,3.47,0.94,1.15,1.33
PI538007,"US, Iowa",non-stiff stalk,61.16,12.09,3.72,1.58,1.1,1.28
PI547086,"US, Iowa",non-stiff stalk,65.43,9.51,2.45,1.42,0.96,1.3
PI547090,"US, Indiana",non-stiff stalk,64.66,11.34,2.16,1.07,1.07,1.33
PI548804,"US, Iowa",non-stiff stalk,64.67,10.85,2.64,1.34,1.12,1.3
PI548805,"US, Indiana",non-stiff stalk,60.93,13.14,3.48,1.1,1.12,1.32
PI550442,"US, Missouri",non-stiff stalk,59.74,12.94,4.89,0.86,1.13,1.33
PI550472,"US, Iowa",non-stiff stalk,63.07,10.78,3.32,1.7,1.05,1.27
PI552815,"US, Iowa",non-stiff stalk,61.03,13.01,2.97,1.5,1.15,1.29
PI555651,"US, Illinois",non-stiff stalk,62.36,12.64,2.68,1.04,0.95,1.33
PI560081,"US, Pennsylvania",non-stiff stalk,60.47,13.37,3.73,0.85,1.13,1.34
PI564682,"US, Iowa",non-stiff stalk,64.22,10.27,3.13,1.76,1.06,1.27
PI583351,"US, Missouri",non-stiff stalk,62.36,12.37,2.85,0.62,1.09,1.36
PI584529,"US, Iowa",non-stiff stalk,63.82,11.79,3.14,1.15,1.07,1.32
PI587139,"US, Minnesota",non-stiff stalk,62.6,11.85,4.09,1.88,1.3,1.25
PI587143,"US, Minnesota",non-stiff stalk,60.27,12.13,3.66,1.58,0.99,1.28
PI587149,"US, Virginia",non-stiff stalk,62.63,12.26,3.15,1.41,1.23,1.3
PI587150,"US, Virginia",non-stiff stalk,65.39,10.33,3.15,0.77,1.06,1.35
PI587154,"US, Wisconsin",non-stiff stalk,62.01,11.4,4.17,1.4,1.31,1.29
PI594045,"US, Iowa",non-stiff stalk,61.35,13.26,4.09,0.8,1.16,1.33
PI594046,"US, Iowa",non-stiff stalk,64.32,10.95,3.41,1.2,1.25,1.32
PI594049,"US, Iowa",non-stiff stalk,63.99,11.36,4.98,0.98,1.27,1.32
PI600751,"US, Iowa",non-stiff stalk,62.37,13.47,3.2,1.56,1.11,1.28
PI600791,"US, Iowa",non-stiff stalk,62.84,12.7,3.09,1.67,1.17,1.28
PI600944,"US, Iowa",non-stiff stalk,65.63,10.89,2.52,1.59,0.97,1.28
PI600955,"US, Iowa",non-stiff stalk,65.35,10.65,3.34,1.22,1.05,1.31
PI600956,"US, Illinois",non-stiff stalk,61.78,11.52,3.78,1.1,1,1.31
PI601005,"US, Iowa",non-stiff stalk,64.07,11.4,3.33,1.58,1.1,1.28
PI601006,"US, Iowa",non-stiff stalk,64.96,11.44,2.79,0.91,1.11,1.34
PI601008,"US, Iowa",non-stiff stalk,62.22,11.83,2.63,1.41,0.99,1.3
PI601079,"US, Iowa",non-stiff stalk,63.79,12.91,1.86,1.05,1.02,1.33
PI601170,"US, Iowa",non-stiff stalk,61.77,12.24,3.78,1.22,1.2,1.32
PI601208,"US, Indiana",non-stiff stalk,63.64,12,2.41,1.37,0.99,1.3
PI601209,"US, Illinois",non-stiff stalk,65.92,12.73,3.42,1.06,0.97,1.32
PI601229,"US, Iowa",non-stiff stalk,63.67,12.7,1.74,1.64,1.07,1.28
PI601269,"US, Michigan",non-stiff stalk,62.8,12.01,2.89,1.11,1.02,1.31
PI601270,"US, Iowa",non-stiff stalk,64.84,11.26,3.09,1.59,1.18,1.29
PI601316,"US, Iowa",non-stiff stalk,62.32,13.13,3.67,1.26,1.15,1.31
PI601317,"US, Iowa",non-stiff stalk,62.81,11.43,3.92,1.4,1.12,1.29
PI601318,"US, Iowa",non-stiff stalk,65.31,10.94,3.44,1.13,1.14,1.32
PI601319,"US, Iowa",non-stiff stalk,65.14,11.17,2.91,1.32,1.09,1.31
PI601320,"US, Iowa",non-stiff stalk,63.84,11.29,3.24,1.08,1.12,1.31
PI601322,"US, Iowa",non-stiff stalk,65.84,11.78,2.29,1,1.05,1.34
PI601360,"US, Iowa",non-stiff stalk,62.59,12.89,3.52,1.13,1.15,1.31
